name,type,scope,parameters,call,summary
ReadForwardingRule,Policy,Infra,"{domainid}, {forwardingpolicyid}, {ruleid}",/policy/api/v1/infra/domains/{domainid}/forwarding-policies/{forwardingpolicyid}/rules/{ruleid},Read rule
GlobalInfraReadIPFIXDFWCollectorProfile,Policy,Global,{ipfixdfwcollectorprofileid},/policy/api/v1/global-infra/ipfix-dfw-collector-profiles/{ipfixdfwcollectorprofileid},Get IPFIX dfw Collector profile
ListTier1L2VPNServices,Policy,Infra,"{tier1id}, {localeserviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/l2vpn-services,Get L2VPN service list result under Tier-1
GetTier0BgpNeighborsStatus,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/status,Get BGP neighbor status for the Tier0
GetTier1VpnIPSecVpnSession,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services/{serviceid}/sessions/{sessionid},Get IPSec VPN Session
ListTier1VpnIPSecVpnServices,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/ipsec-vpn-services,Get IPSec VPN service list result
GlobalInfraReadDhcpServerConfig,Policy,Global,{dhcpserverconfigid},/policy/api/v1/global-infra/dhcp-server-configs/{dhcpserverconfigid},Read DHCP server configuration
ReadFirewallSectionRealizedState,Policy,Infra,"{enforcementpointid}, {firewallsectionid}",/policy/api/v1/infra/realized-state/enforcement-points/{enforcementpointid}/firewalls/firewall-sections/{firewallsectionid},Read Firewall
GetTier0VpnIPSecVpnPeerConfig,Policy,Infra,"{tier0id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/ipsec-vpn-services/{serviceid}/sessions/{sessionid}/peer-config,Get IPSec VPN configuration for the peer site
ListInfraPortMonitoringBindings,Policy,Infra,"{infrasegmentid}, {infraportid}",/policy/api/v1/infra/segments/{infrasegmentid}/ports/{infraportid}/port-monitoring-profile-binding-maps,List Infra Port Monitoring Profile Binding Maps
GetGroupDiscoveryProfileBinding,Policy,Infra,"{domainid}, {groupid}, {discoveryprofilebindingmapid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/discovery-profile-binding-maps/{discoveryprofilebindingmapid},Get Group discovery profile binding map
GlobalInfraListPolicyFirewallCPUMemThresholdsProfileBindingMaps,Policy,Global,,/policy/api/v1/global-infra/settings/firewall/cpu-mem-thresholds-profile-binding-maps,List Firewall CPU Memory Thresholds Profile Binding Maps
ListVirtualMachineIDFWStatusByTransportNode,Policy,Infra,{transportnodeid},/policy/api/v1/infra/settings/firewall/idfw/transport-nodes/{transportnodeid}/vms/status,List IDFW status of VMs by transport node id
ListPolicyHostTransportNodeProfiles,Policy,Infra,,/policy/api/v1/infra/host-transport-node-profiles,List Host Transport Nodes
ReadAntreaTraceflowConfig,Policy,Infra,{traceflowid},/policy/api/v1/infra/antrea/traceflows/{traceflowid},Read Antrea traceflow config
GetGroupVmDetails,Policy,Infra,,/policy/api/v1/infra/settings/firewall/idfw/group-vm-details,Get all IDFW Group VM details for a given Group
ListPolicyIgmpProfile,Policy,Infra,,/policy/api/v1/infra/igmp-profiles,List Igmp Profile
GlobalInfraGetMacDiscoveryProfiles,Policy,Global,,/policy/api/v1/global-infra/mac-discovery-profiles,List Mac Discovery Profiles
ReadAntreaHeartbeatConfig,Policy,Infra,"{siteid}, {enforcementpointid}, {clustercontrolplaneid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/cluster-control-planes/{clustercontrolplaneid}/heartbeat-config,Read Antrea heartbeat configuration
ReadInfraSegment,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid},Read infra segment
GlobalInfraReadSegmentDhcpStaticBinding,Policy,Global,"{tier1id}, {segmentid}, {bindingid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/dhcp-static-binding-configs/{bindingid},Read DHCP static binding
GetSegmentSecurityProfile,Policy,Infra,{segmentsecurityprofileid},/policy/api/v1/infra/segment-security-profiles/{segmentsecurityprofileid},GET Segment security profile id
GetPolicyCapacityThresholds,Policy,Infra,,/policy/api/v1/infra/capacity/threshold,Returns warning threshold(s) set for NSX Objects.
GetGlobalIdsSignature,Policy,Infra,{signatureid},/policy/api/v1/infra/settings/firewall/security/intrusion-services/global-signatures/{signatureid},Get Global IDS signature.
DslSearch,Policy,Infra,,/policy/api/v1/search/dsl,DSL (Domain Specific Language) search API
GlobalInfraGetPolicyFirewallSessionTimerProfile,Policy,Global,{firewallsessiontimerprofileid},/policy/api/v1/global-infra/firewall-session-timer-profiles/{firewallsessiontimerprofileid},Get Firewall Session Timer Profile
GetDownlinkPortArpTableForInfraSegmentInCsv,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/gateway-interface-arp-table?format=csv,Get ARP table for downlink router port on tier-0 router in CSV
ListALBWebhook,Policy,Infra,,/policy/api/v1/infra/alb-webhooks,List ALBWebhook for infra
ListTlsCsrs,Policy,Infra,,/policy/api/v1/infra/csrs,Return All the Generated CSRs
GetSegmentState,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/state,Get segment state information
ReadIPFIXDFWProfile,Policy,Infra,{ipfixdfwprofileid},/policy/api/v1/infra/ipfix-dfw-profiles/{ipfixdfwprofileid},Get IPFIX DFW Profile
GetTunnelByName,Policy,Infra,"{siteid}, {enforcementpointid}, {nodeid}, {tunnelid}",/policy/api/v1/infra/sites/{siteid}/enforcement-points/{enforcementpointid}/host-transport-nodes/{nodeid}/tunnels/{tunnelid},Tunnel properties
GetGroupsForIPAddress,Policy,Infra,,/policy/api/v1/infra/ip-address-group-associations,Get groups for which the given IP address is a member
GetSegmentSecurityProfileBinding,Policy,Infra,"{tier1id}, {segmentid}, {segmentsecurityprofilebindingmapid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/segment-security-profile-binding-maps/{segmentsecurityprofilebindingmapid},Get segment security profile binding map
GlobalInfraGetTier0FloodProtectionProfileBinding,Policy,Global,"{tier0id}, {floodprotectionprofilebindingid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/flood-protection-profile-bindings/{floodprotectionprofilebindingid},Get Flood Protection Profile Binding Map for Tier-0 Logical Router
ListTlsRules,Policy,Infra,{policyid},/policy/api/v1/infra/tls-inspection-policies/{policyid}/rules,List TLS rules
ReadRedirectionPolicy,Policy,Infra,"{domainid}, {redirectionpolicyid}",/policy/api/v1/infra/domains/{domainid}/redirection-policies/{redirectionpolicyid},Read redirection policy
ListIPSecVpnIkeProfiles,Policy,Infra,,/policy/api/v1/infra/ipsec-vpn-ike-profiles,List IKE profiles
GlobalInfraViewTier1LocaleServicesGatewayFirewall,Policy,Global,"{tier1id}, {localeserviceid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/gateway-firewall,"Get list of gateway policies with rules that belong
to the specific Tier-1 LocalServices.
"
ReadPolicyLatencyStatProfile,Policy,Infra,{profileid},/policy/api/v1/infra/latency-profiles/{profileid},Read latency profile
GlobalInfraListInfraPortMonitoringBindings,Policy,Global,"{infrasegmentid}, {infraportid}",/policy/api/v1/global-infra/segments/{infrasegmentid}/ports/{infraportid}/port-monitoring-profile-binding-maps,List Infra Port Monitoring Profile Binding Maps
ListALBTrafficCloneProfile,Policy,Infra,,/policy/api/v1/infra/alb-traffic-clone-profiles,List ALBTrafficCloneProfile for infra
GlobalInfraReadGatewayQosProfile,Policy,Global,{qosprofileid},/policy/api/v1/global-infra/gateway-qos-profiles/{qosprofileid},Read gateway QoS profile
FetchFirewallIdentityStoreOrgUnitsForIdentityStore,Policy,Infra,{firewallidentitystoreid},/policy/api/v1/infra/firewall-identity-stores/{firewallidentitystoreid}/org-units,Fetch all organization units for a Firewall Identity Store.
GetTier1VpnL2VPNService,Policy,Infra,"{tier1id}, {serviceid}",/policy/api/v1/infra/tier-1s/{tier1id}/l2vpn-services/{serviceid},Get L2VPN service under Tier-1
ListL2Vpns,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l2vpn-context/l2vpns,List L2Vpns
ListSegmentDiscoveryBindings,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/segment-discovery-profile-binding-maps,List Segment Discovery Profile Binding Maps
ReadFederationConfig,Policy,Infra,,/policy/api/v1/infra/federation-config,Read federation config
ReadMetadataProxyStatus,Policy,Infra,{metadataproxyid},/policy/api/v1/infra/metadata-proxies/{metadataproxyid}/status,Get metadata proxy status
GetGroupSegmentPortMembers,Policy,Infra,"{domainid}, {groupid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/members/segment-ports,Get segment ports that belong to this Group
ReadServiceDefinition,Policy,Infra,"{enforcementpointid}, {servicedefinitionid}",/policy/api/v1/enforcement-points/{enforcementpointid}/service-definitions/{servicedefinitionid},Read Service Definition with given service-definition-id.
ListNSGroupRealizedStates,Policy,Infra,{enforcementpointid},/policy/api/v1/infra/realized-state/enforcement-points/{enforcementpointid}/groups/nsgroups,List NS Groups
GetL2VpnSessionStatus,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l2vpn-services/{serviceid}/sessions/{sessionid}/detailed-status,Get L2VPN session detailed status under Tier-0
ListInfraSegmentSecurityProfileBindings,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/segment-security-profile-binding-maps,List infra segment security profile binding maps
GlobalInfraReadTier0StaticRoutes,Policy,Global,"{tier0id}, {routeid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/static-routes/{routeid},Read Tier-0 static routes
ListForwardingRule,Policy,Infra,"{domainid}, {forwardingpolicyid}",/policy/api/v1/infra/domains/{domainid}/forwarding-policies/{forwardingpolicyid}/rules,List rules
GlobalInfraListSpoofGuardProfiles,Policy,Global,,/policy/api/v1/global-infra/spoofguard-profiles,List SpoofGuard profiles
GlobalInfraReadIntentStatus,Policy,Global,,/policy/api/v1/global-infra/realized-state/status,Get consolidated status of an intent object
ListL7AccessProfiles,Policy,Infra,,/policy/api/v1/infra/l7-access-profiles,List l7 access Profiles
GetMemberTypesForGroup,Policy,Infra,"{domainid}, {groupid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/member-types,Get member types for a given Group
ListSegmentMonitoringBindings,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/segment-monitoring-profile-binding-maps,List Segment Monitoring Profile Binding Maps
GetTier0InterfaceDADState,Policy,Infra,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/dad-state,Get DAD status by interface
ListAlarms,Policy,Infra,,/policy/api/v1/infra/realized-state/alarms,List All alarms in the system
GetUploadBundleStatus,Policy,Infra,"{siteid}, {bundleid}",/policy/api/v1/infra/sites/{siteid}/napp/deployment/tools/upload/status/{bundleid},Get progress status of kubernetes tools bundle upload
GetRouteMap,Policy,Infra,"{tier0id}, {routemapid}",/policy/api/v1/infra/tier-0s/{tier0id}/route-maps/{routemapid},Read a route map
GetTier0RouterLinkSummaryStatistics,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/tier-1-interface/statistics/summary,Get tier-0 router link statistics summary information
ListInfraSegmentPorts,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/ports,List infra segment ports
ListInfraSegmentDhcpStaticBinding,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/dhcp-static-binding-configs,List all DHCP static bindings
GetTier1LocaleServicesSessionTimerProfileBinding,Policy,Infra,"{tier1id}, {localeserviceid}, {sessiontimerprofilebindingid}",/policy/api/v1/infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/session-timer-profile-bindings/{sessiontimerprofilebindingid},Get Session Timer Profile Binding Map for Tier-1 Logical Router LocaleServices
GlobalInfraReadSecurityRule,Policy,Global,"{domainid}, {securitypolicyid}, {ruleid}",/policy/api/v1/global-infra/domains/{domainid}/security-policies/{securitypolicyid}/rules/{ruleid},Read rule
GetTier1VpnL2VpnSessionStatus,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/l2vpn-services/{serviceid}/sessions/{sessionid}/detailed-status,Get L2VPN session detailed status under Tier-1
GetPolicyMulticastForwarding,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/multicast/forwarding,Get Multicast Forwarding
GlobalInfraListPolicyFirewallSessionTimerBindings,Policy,Global,"{domainid}, {groupid}",/policy/api/v1/global-infra/domains/{domainid}/groups/{groupid}/firewall-session-timer-profile-binding-maps,List Firewall Session Timer Profile Binding Maps
GetTier1VpnL2VpnSessionStatistics,Policy,Infra,"{tier1id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-1s/{tier1id}/l2vpn-services/{serviceid}/sessions/{sessionid}/statistics,Get L2VPN session statistics under Tier-1
GetInfraSegmentInterfaceArpTableCsv,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/arp-table?format=csv,Get ARP table from segment interface (downlink) in CSV format
ReadManagerIpPool,Policy,Infra,{managerippoolid},/policy/api/v1/infra/manager-ip-pools/{managerippoolid},Read a Manager Ip Pool
ListTlsCrls,Policy,Infra,,/policy/api/v1/infra/crls,Return All Added CRLs
GetIPSecVpnIkeProfile,Policy,Infra,{ikeprofileid},/policy/api/v1/infra/ipsec-vpn-ike-profiles/{ikeprofileid},Get IKE Profile
GlobalInfraGetTier0BgpNeighborRoutes,Policy,Global,"{tier0id}, {localeserviceid}, {neighborid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/bgp/neighbors/{neighborid}/routes,Get routes learned by BGP neighbor
ReadPolicyLabelForInfra,Policy,Infra,{labelid},/policy/api/v1/infra/labels/{labelid},Read lable
GetPolicyFirewallCPUMemThresholdsProfileBindingMap,Policy,Infra,{cpumemthresholdsprofilebindingmapid},/policy/api/v1/infra/settings/firewall/cpu-mem-thresholds-profile-binding-maps/{cpumemthresholdsprofilebindingmapid},Get Firewall CPU Memory Thresholds Profile Binding Map
ReadALBHardwareSecurityModuleGroup,Policy,Infra,{albhardwaresecuritymodulegroupid},/policy/api/v1/infra/alb-hardware-security-module-groups/{albhardwaresecuritymodulegroupid},Read ALBHardwareSecurityModuleGroup
GlobalInfraGetTier0InterfaceArpTableCsv,Policy,Global,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-table?format=csv,Get ARP table from tier-0 interface in CSV format
ReadALBControllerNodeClusterConfig,Policy,Infra,,/policy/api/v1/alb/controller-nodes/clusterconfig,Returns info for of the cluster configuration for the Advanced Load Balancer controller cluster
GlobalInfraListVMTagReplicationPolicies,Policy,Global,,/policy/api/v1/global-infra/vm-tag-replication-policies,List all VM tag replication policies
ListPolicyHostSwitchProfiles,Policy,Infra,,/policy/api/v1/infra/host-switch-profiles,List Hostswitch Profiles
ReadPolicyDnsForwarderOnTier1,Policy,Infra,{tier1id},/policy/api/v1/infra/tier-1s/{tier1id}/dns-forwarder,Read the DNS Forwarder for the given tier-1 instance
ReadConnectivityGlobalConfig,Policy,Infra,,/policy/api/v1/infra/connectivity-global-config,Read the connectivity global configuration
GetLBServiceStatus,Policy,Infra,{lbserviceid},/policy/api/v1/infra/lb-services/{lbserviceid}/detailed-status,Get LBService status information
ReadALBWebhook,Policy,Infra,{albwebhookid},/policy/api/v1/infra/alb-webhooks/{albwebhookid},Read ALBWebhook
GetTier0L2VpnSessionRemoteMacsForLS,Policy,Infra,"{tier0id}, {localeserviceid}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l2vpn-services/{serviceid}/sessions/{sessionid}/remote-mac,Get L2Vpn session remote mac for logical switch
GetTier1SegmentTepTableInCsv,Policy,Infra,"{tier1id}, {segmentid}",/policy/api/v1/infra/tier-1s/{tier1id}/segments/{segmentid}/tep-table?format=csv,Get tier-1 segment TEP table in CSV
GetLBNodeUsage,Policy,Infra,,/policy/api/v1/infra/lb-node-usage,Read load balancer usage for the given node
GetDfwFirewallConfiguration,Policy,Infra,,/policy/api/v1/infra/settings/firewall/security,Get dfw firewall configuration
GetInfraSegmentDiscoveryBinding,Policy,Infra,"{infrasegmentid}, {segmentdiscoveryprofilebindingmapid}",/policy/api/v1/infra/segments/{infrasegmentid}/segment-discovery-profile-binding-maps/{segmentdiscoveryprofilebindingmapid},Get Infra Segment Discovery Profile Binding Map
GlobalInfraListInfraSegmentPorts,Policy,Global,{segmentid},/policy/api/v1/global-infra/segments/{segmentid}/ports,List infra segment ports
GlobalInfraGetTier0InterfaceArpProxies,Policy,Global,"{tier0id}, {localeserviceid}, {interfaceid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/interfaces/{interfaceid}/arp-proxy,Get Tier-0 Interface Address Resolution Protocol Proxies
ReadServiceChain,Policy,Infra,{servicechainid},/policy/api/v1/infra/service-chains/{servicechainid},Read service chain
ListPrefixLists,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/prefix-lists,List prefix lists
GetObjectPermissions,Policy,Infra,,/policy/api/v1/aaa/object-permissions,Get list of Object-level RBAC entries.
ReadLdapIdentitySource,Policy,Infra,{ldapidentitysourceid},/policy/api/v1/aaa/ldap-identity-sources/{ldapidentitysourceid},Read a single LDAP identity source
GetTier0RouterLinkStatistics,Policy,Infra,{tier0id},/policy/api/v1/infra/tier-0s/{tier0id}/tier-1-interface/statistics,Get tier-0 router link statistics information
GlobalInfraReadStaticRouteBfdPeer,Policy,Global,"{tier0id}, {bfdpeerid}",/policy/api/v1/global-infra/tier-0s/{tier0id}/static-routes/bfd-peers/{bfdpeerid},Read a StaticRouteBfdPeer
GlobalInfraGetTier1GatewayArpProxiesInCsv,Policy,Global,{tier1id},/policy/api/v1/global-infra/tier-1s/{tier1id}/arp-proxies?format=csv,Get Tier-1 Address Resolution Protocol Proxies in CSV format
GetExportTask,Policy,Infra,,/policy/api/v1/infra/settings/firewall/export,Get the information of export task
GetSpoofGuardProfile,Policy,Infra,{spoofguardprofileid},/policy/api/v1/infra/spoofguard-profiles/{spoofguardprofileid},Get SpoofGuard profile
InfraSegmentBridgeEndpointStatus,Policy,Infra,{segmentid},/policy/api/v1/infra/segments/{segmentid}/bep-status,Get Tier-1 segment bridge end point status using segment ID and profile path.
ReadL3VpnPeerConfig,Policy,Infra,"{tier0id}, {localeserviceid}, {l3vpnid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/l3vpns/{l3vpnid}/peer-config,Download L3Vpn Config for Remote Site
GlobalInfraGetTier0GatewayArpProxiesInCsv,Policy,Global,{tier0id},/policy/api/v1/global-infra/tier-0s/{tier0id}/arp-proxies?format=csv,Get Tier-0 Address Resolution Protocol Proxies in CSV format
GetTier0VpnL2VpnSessionStatus,Policy,Infra,"{tier0id}, {serviceid}, {sessionid}",/policy/api/v1/infra/tier-0s/{tier0id}/l2vpn-services/{serviceid}/sessions/{sessionid}/detailed-status,Get L2VPN session detailed status under Tier-0
ListRedirectionPolicies,Policy,Infra,{domainid},/policy/api/v1/infra/domains/{domainid}/redirection-policies,List redirection policies for a domain
GlobalInfraGetInfraSegmentPortMacTableInCsv,Policy,Global,"{segmentid}, {portid}",/policy/api/v1/global-infra/segments/{segmentid}/ports/{portid}/mac-table?format=csv,Get infra segment port MAC table in CSV
ListTier0VpnIPSecVpnLocalEndpoints,Policy,Infra,"{tier0id}, {serviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/ipsec-vpn-services/{serviceid}/local-endpoints,Get IPSec VPN local endpoint list result
ListDnsSecurityProfiles,Policy,Infra,,/policy/api/v1/infra/dns-security-profiles,List all DNS security profiles
ReadPartnerServices,Policy,Infra,,/policy/api/v1/infra/partner-services,Read partner services
GetPolicyIgmpMembershipsInCsvFormat,Policy,Infra,"{tier0id}, {localeserviceid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/multicast/igmp-memberships?format=csv,Get IGMP Memberships in CSV format
GlobalInfraListPortDiscoveryBindings,Policy,Global,"{tier1id}, {segmentid}, {portid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/ports/{portid}/port-discovery-profile-binding-maps,List Port Discovery Profile Binding Maps
GetGroupsForVM,Policy,Infra,,/policy/api/v1/infra/virtual-machine-group-associations,Get groups for which the given VM is a member
ReadIpAddressPoolSubnet,Policy,Infra,"{ippoolid}, {ipsubnetid}",/policy/api/v1/infra/ip-pools/{ippoolid}/ip-subnets/{ipsubnetid},Read an IpAddressPoolSubnet
ReadEvpnTenantConfig,Policy,Infra,{configid},/policy/api/v1/infra/evpn-tenant-configs/{configid},Read Evpn Tenant Configuration
GlobalInfraGetTier1ArpProxies,Policy,Global,"{tier1id}, {localeserviceid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/locale-services/{localeserviceid}/arp-proxies,Get Tier-1 Address Resolution Protocol Proxies
ReadServiceForTenant,Policy,Infra,{serviceid},/policy/api/v1/infra/services/{serviceid},Read a service
GetL7AccessProfile,Policy,Infra,{l7accessprofileid},/policy/api/v1/infra/l7-access-profiles/{l7accessprofileid},Get L7 Access Profile
ReadEvpnTunnelEndpointConfig,Policy,Infra,"{tier0id}, {localeserviceid}, {tunnelendpointid}",/policy/api/v1/infra/tier-0s/{tier0id}/locale-services/{localeserviceid}/evpn-tunnel-endpoints/{tunnelendpointid},Read evpn tunnel endpoint configuration
GlobalInfraGetTier1SegmentMacTable,Policy,Global,"{tier1id}, {segmentid}",/policy/api/v1/global-infra/tier-1s/{tier1id}/segments/{segmentid}/mac-table,Get Tier-1 segment MAC table
GetFullSyncStates,Policy,Infra,{fullsyncid},/policy/api/v1/infra/full-sync-states/{fullsyncid},Get full sync state
GetView,Policy,Infra,{viewid},/policy/api/v1/ui-views/{viewid},Returns View Information
GetGroupDiscoveredPortMembers,Policy,Infra,"{domainid}, {groupid}",/policy/api/v1/infra/domains/{domainid}/groups/{groupid}/members/dvports,Get discovered ports that belong to this Group
ListPolicyPimProfile,Policy,Infra,,/policy/api/v1/infra/pim-profiles,List Pim Profile
